Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,componentnumber,strongcompnum,pageranks,clustering,eigencentrality,modularity_class
104,,,11,0,11,11,0,11,0,0,0,0,0.020778,0,0,71,0.001526,0.054545,0.128837,54
612,,,1,1,2,1,1,2,1,1,1,2,0,0,0,207,0.000153,0,0.000809,19
211,,,2,0,2,2,0,2,0,0,0,0,0.000004,0,0,206,0.000342,0,0.009252,19
618,,,1,1,2,1,1,2,1,1,1,1,0,0,14,209,0.000237,0,0.000376,31
616,,,1,0,1,1,0,1,0,0,0,0,0,0,14,208,0.000329,0,0.000809,31
625,,,10,1,11,10,1,11,1,1,1,20.583333,0.00012,0.000001,0,210,0.000648,0.172727,0.073015,92
627,,,0,2,2,0,2,2,1,1,1,0,0,0,0,213,0.000128,0,0,124
334,,,5,0,5,5,0,5,0,0,0,0,0,0,0,212,0.000596,0.1,0.014212,124
469,,,1,0,1,1,0,1,0,0,0,0,0,0,0,211,0.000182,0,0.000376,124
323,,,8,0,8,8,0,8,0,0,0,0,0.000006,0,0,174,0.000971,0.107143,0.069259,83
584,,,4,0,4,4,0,4,0,0,0,0,0.000002,0,0,172,0.000731,0.166667,0.086046,92
637,,,3,1,4,3,1,4,1,1,1,25,0,0,0,215,0.000491,0.083333,0.017525,112
290,,,5,0,5,5,0,5,0,0,0,0,0,0,0,214,0.000788,0.1,0.013206,82
644,,,8,3,11,8,3,11,2,0.8,0.875,32.833333,0,0,0,216,0.000398,0.109091,0.009559,112
648,,,4,1,5,4,1,5,1,1,1,12,0,0,0,217,0.00241,0.083333,0.008814,82
664,,,1,1,2,1,1,2,1,1,1,0,0,0,0,217,0.002177,0,0.005493,82
656,,,2,1,3,2,1,3,1,1,1,0,0,0.000001,0,219,0.000237,0.333333,0.000752,87
38,,,8,0,8,8,0,8,0,0,0,0,0.000019,0,0,218,0.001027,0.035714,0.008065,87
658,,,2,1,3,2,1,3,2,0.666667,0.75,0,0,0.000002,0,101,0.000654,0.5,0.00893,127
657,,,1,0,1,1,0,1,0,0,0,0,0,0,0,100,0.000639,0,0.008554,127
662,,,1,2,3,1,2,3,2,0.75,0.833333,10.5,0,0,0,222,0.000278,0.166667,0.002434,124
730,,,4,2,6,4,2,6,1,1,1,23,0,0,0,221,0.000306,0.066667,0.007021,124
665,,,6,4,10,6,4,10,2,0.75,0.833333,51.933333,0.000002,0,0,223,0.000352,0.055556,0.006469,92
678,,,3,1,4,3,1,4,1,1,1,1,0,0,0,225,0.000341,0.25,0.008142,135
89,,,7,0,7,7,0,7,0,0,0,0,0.000002,0,0,224,0.000791,0.142857,0.01849,135
682,,,2,1,3,2,1,3,1,1,1,3,0,0.000001,0,226,0.000438,0,0.001185,136
687,,,1,1,2,1,1,2,1,1,1,0,0.000002,0,0,228,0.000146,0.5,0.001242,92
686,,,2,0,2,2,0,2,0,0,0,0,0.000002,0,0,227,0.00027,0.5,0.00255,92
711,,,4,2,6,4,2,6,2,0.666667,0.75,4.666667,0,0,0,229,0.000297,0.233333,0.013575,112
714,,,8,1,9,8,1,9,1,1,1,6.5,0.004974,0.000333,0,231,0.000614,0.083333,0.007654,125
96,,,5,0,5,5,0,5,0,0,0,0,0.00489,0,0,230,0.00101,0.25,0.011654,125
718,,,4,1,5,4,1,5,1,1,1,0,0.000003,0.000001,0,232,0.000379,0.4,0.038343,92
335,,,4,0,4,4,0,4,0,0,0,0,0,0,0,220,0.000513,0.083333,0.00819,124
740,,,2,1,3,2,1,3,1,1,1,6,0,0,0,233,0.000467,0.333333,0.003078,49
743,,,1,1,2,1,1,2,1,1,1,1,0,0,0,235,0.000237,0,0.000376,119
279,,,5,0,5,5,0,5,0,0,0,0,0,0,0,234,0.001191,0,0.013087,119
744,,,3,1,4,3,1,4,2,0.6,0.666667,15,0,0,0,236,0.000416,0,0.001994,62
747,,,0,1,1,0,1,1,1,1,1,0,0,0,15,238,0.000128,0,0,8
